"","month","year","repo_name","repo_url","events","pos"
"1",1,2012,"brianchandotcom/liferay-portal","https://api.github.dev/repos/brianchandotcom/liferay-portal",840,1
"2",1,2012,"mxcl/homebrew","https://api.github.dev/repos/mxcl/homebrew",714,2
"3",1,2012,"rails/rails","https://api.github.dev/repos/rails/rails",621,3
"4",1,2012,"jbossas/jboss-as","https://api.github.dev/repos/jbossas/jboss-as",515,4
"5",1,2012,"appcelerator/titanium_mobile","https://api.github.dev/repos/appcelerator/titanium_mobile",360,5
"6",1,2012,"twitter/bootstrap","https://api.github.dev/repos/twitter/bootstrap",333,6
"7",1,2012,"hpcc-systems/HPCC-Platform","https://api.github.dev/repos/hpcc-systems/HPCC-Platform",319,7
"8",1,2012,"puppetlabs/puppet","https://api.github.dev/repos/puppetlabs/puppet",260,8
"9",1,2012,"TrinityCore/TrinityCore","https://api.github.dev/repos/TrinityCore/TrinityCore",256,9
"10",1,2012,"Baystation12/Baystation12","https://api.github.dev/repos/Baystation12/Baystation12",248,10
"11",2,2012,"mxcl/homebrew","https://api.github.com/repos/mxcl/homebrew",50559,1
"12",2,2012,"mxcl/homebrew","https://api.github.dev/repos/mxcl/homebrew",28367,2
"13",2,2012,"rails/rails","https://api.github.com/repos/rails/rails",14987,3
"14",2,2012,"D-Programming-Language/dmd","https://api.github.dev/repos/D-Programming-Language/dmd",4516,4
"15",2,2012,"xbmc/xbmc","https://api.github.com/repos/xbmc/xbmc",4486,5
"16",2,2012,"mongodb/mongo","https://api.github.com/repos/mongodb/mongo",4385,6
"17",2,2012,"joyent/node","https://api.github.com/repos/joyent/node",3520,7
"18",2,2012,"appcelerator/titanium_mobile","https://api.github.com/repos/appcelerator/titanium_mobile",3406,8
"19",2,2012,"D-Programming-Language/dmd","https://api.github.com/repos/D-Programming-Language/dmd",3360,9
"20",2,2012,"rails/rails","https://api.github.dev/repos/rails/rails",3297,10
"21",3,2012,"mxcl/homebrew","https://api.github.com/repos/mxcl/homebrew",38776,1
"22",3,2012,"mxcl/homebrew","https://api.github.dev/repos/mxcl/homebrew",12908,2
"23",3,2012,"rails/rails","https://api.github.com/repos/rails/rails",9829,3
"24",3,2012,"rails/rails","https://api.github.dev/repos/rails/rails",5893,4
"25",3,2012,"EllisLab/CodeIgniter","https://api.github.dev/repos/EllisLab/CodeIgniter",5559,5
"26",3,2012,"EllisLab/CodeIgniter","https://api.github.com/repos/EllisLab/CodeIgniter",4524,6
"27",3,2012,"appcelerator/titanium_mobile","https://api.github.com/repos/appcelerator/titanium_mobile",4017,7
"28",3,2012,"mongodb/mongo","https://api.github.com/repos/mongodb/mongo",2886,8
"29",3,2012,"django/django","https://api.github.dev/repos/django/django",2728,9
"30",3,2012,"joyent/node","https://api.github.com/repos/joyent/node",2185,10
"31",4,2012,"homebrew","https://github.com/mxcl/homebrew",803,1
"32",4,2012,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",688,2
"33",4,2012,"rails","https://github.com/rails/rails",597,3
"34",4,2012,"symfony","https://github.com/symfony/symfony",547,4
"35",4,2012,"jboss-as","https://github.com/jbossas/jboss-as",546,5
"36",4,2012,"crowbar","https://github.com/dellcloudedge/crowbar",451,6
"37",4,2012,"titanium_mobile","https://github.com/appcelerator/titanium_mobile",417,7
"38",4,2012,"HSU2012SW","https://github.com/xguru/HSU2012SW",240,8
"39",4,2012,"HPCC-Platform","https://github.com/hpcc-systems/HPCC-Platform",231,9
"40",4,2012,"jquery-mobile","https://github.com/jquery/jquery-mobile",231,9
"41",5,2012,"rails","https://github.com/rails/rails",747,1
"42",5,2012,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",699,2
"43",5,2012,"zf2","https://github.com/zendframework/zf2",681,3
"44",5,2012,"homebrew","https://github.com/mxcl/homebrew",674,4
"45",5,2012,"crowbar","https://github.com/dellcloudedge/crowbar",500,5
"46",5,2012,"jboss-as","https://github.com/jbossas/jboss-as",423,6
"47",5,2012,"titanium_mobile","https://github.com/appcelerator/titanium_mobile",398,7
"48",5,2012,"scala","https://github.com/scala/scala",385,8
"49",5,2012,"cloud9","https://github.com/ajaxorg/cloud9",365,9
"50",5,2012,"symfony","https://github.com/symfony/symfony",358,10
"51",6,2012,"homebrew","https://github.com/mxcl/homebrew",844,1
"52",6,2012,"B2W2eng","https://github.com/Kyohack/B2W2eng",782,2
"53",6,2012,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",773,3
"54",6,2012,"gaia","https://github.com/mozilla-b2g/gaia",634,4
"55",6,2012,"zf2","https://github.com/zendframework/zf2",514,5
"56",6,2012,"butter","https://github.com/mozilla/butter",453,6
"57",6,2012,"rails","https://github.com/rails/rails",444,7
"58",6,2012,"BW2ita","https://github.com/Naxx13/BW2ita",432,8
"59",6,2012,"titanium_mobile","https://github.com/appcelerator/titanium_mobile",384,9
"60",6,2012,"HPCC-Platform","https://github.com/hpcc-systems/HPCC-Platform",349,10
"61",7,2012,"BW2ita","https://github.com/Naxx13/BW2ita",1151,1
"62",7,2012,"gaia","https://github.com/mozilla-b2g/gaia",907,2
"63",7,2012,"homebrew","https://github.com/mxcl/homebrew",863,3
"64",7,2012,"zf2","https://github.com/zendframework/zf2",845,4
"65",7,2012,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",816,5
"66",7,2012,"B2W2eng","https://github.com/Kyohack/B2W2eng",688,6
"67",7,2012,"symfony","https://github.com/symfony/symfony",577,7
"68",7,2012,"B2W2spa","https://github.com/Kyohack/B2W2spa",467,8
"69",7,2012,"processmaker","https://github.com/colosa/processmaker",462,9
"70",7,2012,"scala","https://github.com/scala/scala",450,10
"71",8,2012,"homebrew","https://github.com/mxcl/homebrew",949,1
"72",8,2012,"gaia","https://github.com/mozilla-b2g/gaia",896,2
"73",8,2012,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",834,3
"74",8,2012,"crowbar","https://github.com/dellcloudedge/crowbar",629,4
"75",8,2012,"jboss-as","https://github.com/jbossas/jboss-as",448,5
"76",8,2012,"butter","https://github.com/mozilla/butter",431,6
"77",8,2012,"zf2","https://github.com/zendframework/zf2",426,7
"78",8,2012,"scala","https://github.com/scala/scala",388,8
"79",8,2012,"titanium_mobile","https://github.com/appcelerator/titanium_mobile",387,9
"80",8,2012,"rails","https://github.com/rails/rails",349,10
"81",9,2012,"gaia","https://github.com/mozilla-b2g/gaia",1289,1
"82",9,2012,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",791,2
"83",9,2012,"homebrew","https://github.com/mxcl/homebrew",773,3
"84",9,2012,"rails","https://github.com/rails/rails",445,4
"85",9,2012,"titanium_mobile","https://github.com/appcelerator/titanium_mobile",442,5
"86",9,2012,"scala","https://github.com/scala/scala",425,6
"87",9,2012,"katello","https://github.com/Katello/katello",406,7
"88",9,2012,"zf2","https://github.com/zendframework/zf2",364,8
"89",9,2012,"jboss-as","https://github.com/jbossas/jboss-as",363,9
"90",9,2012,"calcentral","https://github.com/ets-berkeley-edu/calcentral",332,10
"91",10,2012,"gaia","https://github.com/mozilla-b2g/gaia",1012,1
"92",10,2012,"homebrew","https://github.com/mxcl/homebrew",785,2
"93",10,2012,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",772,3
"94",10,2012,"butter","https://github.com/mozilla/butter",551,4
"95",10,2012,"titanium_mobile","https://github.com/appcelerator/titanium_mobile",545,5
"96",10,2012,"jboss-as","https://github.com/jbossas/jboss-as",493,6
"97",10,2012,"processmaker","https://github.com/colosa/processmaker",489,7
"98",10,2012,"katello","https://github.com/Katello/katello",415,8
"99",10,2012,"xbmc","https://github.com/xbmc/xbmc",413,9
"100",10,2012,"rails","https://github.com/rails/rails",404,10
"101",10,2012,"origin-server","https://github.com/openshift/origin-server",404,10
"102",11,2012,"gaia","https://github.com/mozilla-b2g/gaia",1224,1
"103",11,2012,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",828,2
"104",11,2012,"homebrew","https://github.com/mxcl/homebrew",660,3
"105",11,2012,"fizteh-java-task","https://github.com/dkomanov/fizteh-java-task",597,4
"106",11,2012,"salt","https://github.com/saltstack/salt",454,5
"107",11,2012,"osx-project-1","https://github.com/Hexlet/osx-project-1",419,6
"108",11,2012,"katello","https://github.com/Katello/katello",401,7
"109",11,2012,"rails","https://github.com/rails/rails",394,8
"110",11,2012,"liferay-portal","https://github.com/juliocamarero/liferay-portal",389,9
"111",11,2012,"origin-server","https://github.com/openshift/origin-server",379,10
"112",12,2012,"gaia","https://github.com/mozilla-b2g/gaia",878,1
"113",12,2012,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",662,2
"114",12,2012,"homebrew","https://github.com/mxcl/homebrew",563,3
"115",12,2012,"symfony","https://github.com/symfony/symfony",473,4
"116",12,2012,"salt","https://github.com/saltstack/salt",441,5
"117",12,2012,"jboss-as","https://github.com/jbossas/jboss-as",410,6
"118",12,2012,"rails","https://github.com/rails/rails",373,7
"119",12,2012,"fizteh-java-task","https://github.com/dkomanov/fizteh-java-task",371,8
"120",12,2012,"katello","https://github.com/Katello/katello",329,9
"121",12,2012,"liferay-portal","https://github.com/juliocamarero/liferay-portal",308,10
"122",1,2013,"gaia","https://github.com/mozilla-b2g/gaia",1213,1
"123",1,2013,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1017,2
"124",1,2013,"homebrew","https://github.com/mxcl/homebrew",959,3
"125",1,2013,"rails","https://github.com/rails/rails",604,4
"126",1,2013,"zf2","https://github.com/zendframework/zf2",507,5
"127",1,2013,"salt","https://github.com/saltstack/salt",503,6
"128",1,2013,"symfony","https://github.com/symfony/symfony",497,7
"129",1,2013,"jboss-as","https://github.com/jbossas/jboss-as",485,8
"130",1,2013,"liferay-portal","https://github.com/juliocamarero/liferay-portal",472,9
"131",1,2013,"Specs","https://github.com/CocoaPods/Specs",425,10
"132",2,2013,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1111,1
"133",2,2013,"gaia","https://github.com/mozilla-b2g/gaia",821,2
"134",2,2013,"homebrew","https://github.com/mxcl/homebrew",811,3
"135",2,2013,"core","https://github.com/owncloud/core",579,4
"136",2,2013,"rust","https://github.com/mozilla/rust",465,5
"137",2,2013,"origin-server","https://github.com/openshift/origin-server",459,6
"138",2,2013,"rails","https://github.com/rails/rails",425,7
"139",2,2013,"liferay-portal","https://github.com/juliocamarero/liferay-portal",421,8
"140",2,2013,"ppsspp","https://github.com/hrydgard/ppsspp",398,9
"141",2,2013,"salt","https://github.com/saltstack/salt",394,10
"142",3,2013,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1319,1
"143",3,2013,"homebrew","https://github.com/mxcl/homebrew",926,2
"144",3,2013,"gaia","https://github.com/mozilla-b2g/gaia",917,3
"145",3,2013,"origin-server","https://github.com/openshift/origin-server",716,4
"146",3,2013,"rails","https://github.com/rails/rails",674,5
"147",3,2013,"rust","https://github.com/mozilla/rust",582,6
"148",3,2013,"civicrm-core","https://github.com/civicrm/civicrm-core",568,7
"149",3,2013,"discourse","https://github.com/discourse/discourse",505,8
"150",3,2013,"salt","https://github.com/saltstack/salt",486,9
"151",3,2013,"Specs","https://github.com/CocoaPods/Specs",451,10
"152",4,2013,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1435,1
"153",4,2013,"gaia","https://github.com/mozilla-b2g/gaia",1111,2
"154",4,2013,"origin-server","https://github.com/openshift/origin-server",891,3
"155",4,2013,"homebrew","https://github.com/mxcl/homebrew",815,4
"156",4,2013,"Specs","https://github.com/CocoaPods/Specs",661,5
"157",4,2013,"ycp-killer","https://github.com/yast/ycp-killer",642,6
"158",4,2013,"ppsspp","https://github.com/hrydgard/ppsspp",628,7
"159",4,2013,"civicrm-core","https://github.com/civicrm/civicrm-core",567,8
"160",4,2013,"symfony","https://github.com/symfony/symfony",549,9
"161",4,2013,"katello","https://github.com/Katello/katello",507,10
"162",5,2013,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1362,1
"163",5,2013,"gaia","https://github.com/mozilla-b2g/gaia",1254,2
"164",5,2013,"salt","https://github.com/saltstack/salt",901,3
"165",5,2013,"origin-server","https://github.com/openshift/origin-server",835,4
"166",5,2013,"homebrew","https://github.com/mxcl/homebrew",835,4
"167",5,2013,"Specs","https://github.com/CocoaPods/Specs",792,6
"168",5,2013,"rust","https://github.com/mozilla/rust",780,7
"169",5,2013,"Cataclysm-DDA","https://github.com/TheDarklingWolf/Cataclysm-DDA",645,8
"170",5,2013,"civicrm-core","https://github.com/civicrm/civicrm-core",629,9
"171",5,2013,"hifi","https://github.com/worklist/hifi",553,10
"172",6,2013,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1149,1
"173",6,2013,"gaia","https://github.com/mozilla-b2g/gaia",1070,2
"174",6,2013,"homebrew","https://github.com/mxcl/homebrew",890,3
"175",6,2013,"rust","https://github.com/mozilla/rust",704,4
"176",6,2013,"Specs","https://github.com/CocoaPods/Specs",677,5
"177",6,2013,"Cataclysm-DDA","https://github.com/CleverRaven/Cataclysm-DDA",579,6
"178",6,2013,"cocos2d-x","https://github.com/cocos2d/cocos2d-x",541,7
"179",6,2013,"salt","https://github.com/saltstack/salt",534,8
"180",6,2013,"rails","https://github.com/rails/rails",519,9
"181",6,2013,"edx-platform","https://github.com/edx/edx-platform",502,10
"182",7,2013,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1396,1
"183",7,2013,"gaia","https://github.com/mozilla-b2g/gaia",1060,2
"184",7,2013,"Specs","https://github.com/CocoaPods/Specs",1050,3
"185",7,2013,"rosdistro","https://github.com/ros/rosdistro",865,4
"186",7,2013,"homebrew","https://github.com/mxcl/homebrew",827,5
"187",7,2013,"salt","https://github.com/saltstack/salt",801,6
"188",7,2013,"rust","https://github.com/mozilla/rust",690,7
"189",7,2013,"rails","https://github.com/rails/rails",674,8
"190",7,2013,"origin-server","https://github.com/openshift/origin-server",575,9
"191",7,2013,"Cataclysm-DDA","https://github.com/CleverRaven/Cataclysm-DDA",544,10
"192",8,2013,"PullRequestTest","https://github.com/ideatest1/PullRequestTest",2103,1
"193",8,2013,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1357,2
"194",8,2013,"PullRequestTest","https://github.com/ideatest2/PullRequestTest",1201,3
"195",8,2013,"gaia","https://github.com/mozilla-b2g/gaia",1127,4
"196",8,2013,"Specs","https://github.com/CocoaPods/Specs",1083,5
"197",8,2013,"homebrew","https://github.com/mxcl/homebrew",937,6
"198",8,2013,"rust","https://github.com/mozilla/rust",808,7
"199",8,2013,"Cataclysm-DDA","https://github.com/CleverRaven/Cataclysm-DDA",688,8
"200",8,2013,"rosdistro","https://github.com/ros/rosdistro",684,9
"201",8,2013,"bootstrap","https://github.com/twbs/bootstrap",680,10
"202",9,2013,"PullRequestTest","https://github.com/ideatest1/PullRequestTest",2841,1
"203",9,2013,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1546,2
"204",9,2013,"PullRequestTest","https://github.com/ideatest2/PullRequestTest",1433,3
"205",9,2013,"gaia","https://github.com/mozilla-b2g/gaia",1241,4
"206",9,2013,"Specs","https://github.com/CocoaPods/Specs",984,5
"207",9,2013,"homebrew","https://github.com/mxcl/homebrew",954,6
"208",9,2013,"rust","https://github.com/mozilla/rust",770,7
"209",9,2013,"Cataclysm-DDA","https://github.com/CleverRaven/Cataclysm-DDA",754,8
"210",9,2013,"salt","https://github.com/saltstack/salt",712,9
"211",9,2013,"cocos2d-x","https://github.com/cocos2d/cocos2d-x",669,10
"212",10,2013,"PullRequestTest","https://github.com/ideatest1/PullRequestTest",3624,1
"213",10,2013,"PullRequestTest","https://github.com/ideatest2/PullRequestTest",1985,2
"214",10,2013,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1597,3
"215",10,2013,"Specs","https://github.com/CocoaPods/Specs",1464,4
"216",10,2013,"snoopys-sandbox","https://github.com/openmicroscopy/snoopys-sandbox",1433,5
"217",10,2013,"gaia","https://github.com/mozilla-b2g/gaia",1419,6
"218",10,2013,"yac2013","https://github.com/yandex-cs/yac2013",1264,7
"219",10,2013,"homebrew","https://github.com/mxcl/homebrew",919,8
"220",10,2013,"Cataclysm-DDA","https://github.com/CleverRaven/Cataclysm-DDA",880,9
"221",10,2013,"commcare-hq","https://github.com/dimagi/commcare-hq",806,10
"222",11,2013,"PullRequestTest","https://github.com/ideatest2/PullRequestTest",2956,1
"223",11,2013,"PullRequestTest","https://github.com/ideatest1/PullRequestTest",2952,2
"224",11,2013,"snoopys-sandbox","https://github.com/openmicroscopy/snoopys-sandbox",1988,3
"225",11,2013,"gaia","https://github.com/mozilla-b2g/gaia",1887,4
"226",11,2013,"Specs","https://github.com/CocoaPods/Specs",1358,5
"227",11,2013,"homebrew","https://github.com/mxcl/homebrew",1166,6
"228",11,2013,"Cataclysm-DDA","https://github.com/CleverRaven/Cataclysm-DDA",1134,7
"229",11,2013,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",999,8
"230",11,2013,"homebrew-cask","https://github.com/phinze/homebrew-cask",849,9
"231",11,2013,"salt","https://github.com/saltstack/salt",766,10
"232",12,2013,"PullRequestTest","https://github.com/ideatest2/PullRequestTest",2287,1
"233",12,2013,"PullRequestTest","https://github.com/ideatest1/PullRequestTest",2279,2
"234",12,2013,"Specs","https://github.com/CocoaPods/Specs",1440,3
"235",12,2013,"gaia","https://github.com/mozilla-b2g/gaia",1407,4
"236",12,2013,"snoopys-sandbox","https://github.com/openmicroscopy/snoopys-sandbox",831,5
"237",12,2013,"salt","https://github.com/saltstack/salt",793,6
"238",12,2013,"Cataclysm-DDA","https://github.com/CleverRaven/Cataclysm-DDA",753,7
"239",12,2013,"cocos2d-x","https://github.com/cocos2d/cocos2d-x",683,8
"240",12,2013,"infosec","https://github.com/vlsergey/infosec",631,9
"241",12,2013,"homebrew-cask","https://github.com/phinze/homebrew-cask",621,10
"242",1,2014,"PullRequestTest","https://github.com/ideatest2/PullRequestTest",2388,1
"243",1,2014,"PullRequestTest","https://github.com/ideatest1/PullRequestTest",2370,2
"244",1,2014,"Specs","https://github.com/CocoaPods/Specs",1980,3
"245",1,2014,"gaia","https://github.com/mozilla-b2g/gaia",1737,4
"246",1,2014,"workflow_test","https://github.com/h-nuschke/workflow_test",1446,5
"247",1,2014,"snoopys-sandbox","https://github.com/openmicroscopy/snoopys-sandbox",1135,6
"248",1,2014,"cocos2d-x","https://github.com/cocos2d/cocos2d-x",1079,7
"249",1,2014,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1032,8
"250",1,2014,"homebrew","https://github.com/Homebrew/homebrew",989,9
"251",1,2014,"rust","https://github.com/mozilla/rust",812,10
"252",2,2014,"PullRequestTest","https://github.com/ideatest1/PullRequestTest",2445,1
"253",2,2014,"PullRequestTest","https://github.com/ideatest2/PullRequestTest",2426,2
"254",2,2014,"Specs","https://github.com/CocoaPods/Specs",2277,3
"255",2,2014,"gaia","https://github.com/mozilla-b2g/gaia",1584,4
"256",2,2014,"liferay-portal","https://github.com/brianchandotcom/liferay-portal",1218,5
"257",2,2014,"homebrew","https://github.com/Homebrew/homebrew",1204,6
"258",2,2014,"snoopys-sandbox","https://github.com/openmicroscopy/snoopys-sandbox",1125,7
"259",2,2014,"homebrew-cask","https://github.com/phinze/homebrew-cask",1025,8
"260",2,2014,"salt","https://github.com/saltstack/salt",1018,9
"261",2,2014,"cmssw","https://github.com/cms-sw/cmssw",846,10
